education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,work_work,nowork_nowork
udd2,60,11168,0.8347063037,0.1652936963,0.041726361,0.0386819484,0.0545308023,0.699767192,0.8187140963,0.1438356164
udd2,61,10557,0.8140570238,0.1859429762,0.0483091787,0.0403523728,0.0602443876,0.6651510846,0.8029364533,0.1534755678
udd2,62,10144,0.7891364353,0.2108635647,0.0522476341,0.0424881703,0.0660488959,0.628351735,0.7736187515,0.1783066252
udd2,63,9703,0.751932392,0.248067608,0.0594661445,0.0518396372,0.0706997836,0.5699268268,0.7342806841,0.2054828974
udd2,64,9220,0.68329718,0.31670282,0.0710412148,0.0503253796,0.0673535792,0.4945770065,0.6727345203,0.2471432368
udd2,65,8973,0.6166276608,0.3833723392,0.082692522,0.0573944054,0.0726624317,0.4038783016,0.6052128821,0.3176855895
udd2,66,8725,0.5220630372,0.4779369628,0.0967335244,0.0528366762,0.0649856734,0.3075071633,0.5141449683,0.3876143561
udd2,67,8583,0.4249097052,0.5750902948,0.1138296633,0.0539438425,0.0593032739,0.1978329256,0.4164367649,0.4883113112
udd2,68,8433,0.3348748962,0.6651251038,0.1162101269,0.0462468872,0.0425708526,0.1298470295,0.3208160852,0.5817563572
udd2,69,8358,0.2818856186,0.7181143814,0.1117492223,0.0429528595,0.0337401292,0.0934434075,0.2636808542,0.6589055317
udd2,70,8294,0.2442729684,0.7557270316,0.1122498191,0.0360501567,0.0268869062,0.0690860863,0.2236488504,0.7130486712
udd2,71,8097,0.2152649129,0.7847350871,0.1085587255,0.0351982216,0.0198839076,0.0516240583,0.1982627248,0.7424565681
udd2,72,8065,0.1859888407,0.8140111593,0.1003099814,0.0277743335,0.0171109733,0.0407935524,0.1754413131,0.7765562094
udd2,73,8060,0.1667493797,0.8332506203,0.0970223325,0.0244416873,0.0131513648,0.032133995,0.1558341071,0.8033116682
udd2,74,7998,0.1464116029,0.8535883971,0.0873968492,0.0216304076,0.0111277819,0.0262565641,0.1356378856,0.8246783444
udd2,75,7923,0.1340401363,0.8659598637,0.0833017796,0.0196895115,0.0090874669,0.0219613783,0.119943995,0.8455196017
udd2,76,7366,0.1178387184,0.8821612816,0.0772468097,0.0172413793,0.0058376324,0.0175128971,0.1070853462,0.854589372
udd2,77,6573,0.1058877225,0.8941122775,0.0736345656,0.0132359653,0.0044119884,0.0146052031,0.0958683599,0.8703273118
udd2,78,5726,0.0962277331,0.9037722669,0.0693328676,0.0115263709,0.0043660496,0.011002445,0.089370485,0.8871001032
udd2,79,4695,0.0815761448,0.9184238552,0.058998935,0.0091586794,0.0042598509,0.0091586794,0.0740740741,0.9001716949
udd2,80,3872,0.0779958678,0.9220041322,0.0570764463,0.007231405,0.0046487603,0.0090392562,0.0692189893,0.9081163859
udd2,81,3178,0.0695405916,0.9304594084,0.0512901196,0.0066079295,0.0034612964,0.0081812461,0.0654381346,0.9153817225
