age,moment,sim_value,label,n_individuals,sim_time,benchmark_value,simulation_error,education,n_data,data_value,data_se,denominator_note,simulation_error_to_data_se
31,hours_1,0.0859,N=10000,10000,3.043421745300293,0.085412,0.0004880000000000023,udd1,5097,0.1071218364,0.004331893678080904,Uses total age-cell frequency,0.11265281104872221
32,hours_1,0.08720872087208721,N=10000,10000,3.043421745300293,0.08316299182360753,0.0040457290484796765,udd1,7282,0.1038176325,0.0035744433669348003,Uses total age-cell frequency,1.1318486917164445
33,hours_1,0.08340834083408341,N=10000,10000,3.043421745300293,0.08218109444775044,0.001227246386332967,udd1,9171,0.1065314579,0.0032215896517352335,Uses total age-cell frequency,0.38094435325490306
34,hours_1,0.07870787078707871,N=10000,10000,3.043421745300293,0.08203337951316125,0.003325508726082546,udd1,11180,0.0989266547,0.002823682298947707,Uses total age-cell frequency,1.177720569811219
35,hours_1,0.08512553766129839,N=10000,10000,3.043421745300293,0.08153246171146836,0.003593075949830035,udd1,13112,0.0928920073,0.0025350364040468225,Uses total age-cell frequency,1.417366608264167
36,hours_1,0.07885519863904733,N=10000,10000,3.043421745300293,0.08040699379221379,0.0015517951531664603,udd1,17702,0.0856400407,0.0021032256234948215,Uses total age-cell frequency,0.7378167781105303
37,hours_1,0.0792713442097888,N=10000,10000,3.043421745300293,0.07965317606590495,0.00038183185611614934,udd1,22115,0.0814379381,0.0018391797011797866,Uses total age-cell frequency,0.2076098686121938
38,hours_1,0.08028028028028028,N=10000,10000,3.043421745300293,0.07878873462307698,0.0014915456572033026,udd1,26699,0.0749840818,0.0016118018295973031,Uses total age-cell frequency,0.9253902246630122
39,hours_1,0.07941117564590426,N=10000,10000,3.043421745300293,0.07868070912335512,0.0007304665225491419,udd1,31731,0.0734612839,0.0014646004502355855,Uses total age-cell frequency,0.4987479844292306
40,hours_1,0.08365895200881675,N=10000,10000,3.043421745300293,0.07756136590139345,0.0060975861074232945,udd1,32214,0.0723288011,0.001443212702723746,Uses total age-cell frequency,4.225008618560136
41,hours_1,0.07740900431164144,N=10000,10000,3.043421745300293,0.07751727985182821,0.00010827554018677521,udd1,32959,0.068630723,0.0013926219231663126,Uses total age-cell frequency,0.07774941524731727
42,hours_1,0.07645229256546604,N=10000,10000,3.043421745300293,0.0771269919368605,0.0006746993713944577,udd1,33929,0.0686138701,0.0013724145421682345,Uses total age-cell frequency,0.491614851536418
43,hours_1,0.07703897147448775,N=10000,10000,3.043421745300293,0.07660090699301261,0.00043806448147513943,udd1,34810,0.0652398736,0.0013235935225971284,Uses total age-cell frequency,0.33096602090918226
44,hours_1,0.0770854271356784,N=10000,10000,3.043421745300293,0.07561095620797113,0.0014744709277072637,udd1,35491,0.0657631512,0.001315711546537924,Uses total age-cell frequency,1.1206642759859398
45,hours_1,0.07323206920832914,N=10000,10000,3.043421745300293,0.07539174388367728,0.002159674675348139,udd1,36530,0.062168081,0.001263343353061447,Uses total age-cell frequency,1.7094914617745218
46,hours_1,0.0746449078271381,N=10000,10000,3.043421745300293,0.07457994426833525,6.496355880285243e-05,udd1,37648,0.0624734382,0.0012472931563161074,Uses total age-cell frequency,0.05208363284436109
47,hours_1,0.07302804115392375,N=10000,10000,3.043421745300293,0.07401063314829917,0.0009825919943754202,udd1,38609,0.0610738429,0.0012187063281124406,Uses total age-cell frequency,0.8062582196461394
48,hours_1,0.07147189648200566,N=10000,10000,3.043421745300293,0.07350755486439312,0.0020356583823874508,udd1,39731,0.0571845662,0.001164898293518894,Uses total age-cell frequency,1.7474988105941744
49,hours_1,0.07163120567375887,N=10000,10000,3.043421745300293,0.07369179263467586,0.002060586960916988,udd1,40045,0.0590585591,0.0011780089024832003,Uses total age-cell frequency,1.7492117050841849
50,hours_1,0.0719000710876409,N=10000,10000,3.043421745300293,0.07363055485508366,0.0017304837674427531,udd1,40332,0.0581176237,0.001165003903383576,Uses total age-cell frequency,1.4853888149360077
51,hours_1,0.07380637279853405,N=10000,10000,3.043421745300293,0.07375321795427318,5.315484426086925e-05,udd1,40778,0.0571386532,0.0011494126035636256,Uses total age-cell frequency,0.04624522481837121
52,hours_1,0.07659313725490197,N=10000,10000,3.043421745300293,0.07344031363983569,0.0031528236150662747,udd1,41035,0.057779944,0.0011518276815362333,Uses total age-cell frequency,2.7372354959044243
53,hours_1,0.07670250896057347,N=10000,10000,3.043421745300293,0.07430048315424101,0.002402025806332461,udd1,41296,0.0593762108,0.0011629478093617745,Uses total age-cell frequency,2.0654631162259056
54,hours_1,0.0797943444730077,N=10000,10000,3.043421745300293,0.07520368738003246,0.0045906570929752505,udd1,42101,0.0570057718,0.001129972115609378,Uses total age-cell frequency,4.062628652123486
55,hours_1,0.07504903478889233,N=10000,10000,3.043421745300293,0.07544873399003571,0.0003996992011433831,udd1,42583,0.0551393749,0.001106105794570444,Uses total age-cell frequency,0.36135711710886226
56,hours_1,0.08011623080116231,N=10000,10000,3.043421745300293,0.07668143174130924,0.003434799059853069,udd1,42538,0.0563496168,0.0011180533065796494,Uses total age-cell frequency,3.07212459337991
57,hours_1,0.0823603002502085,N=10000,10000,3.043421745300293,0.07732073942897238,0.005039560821236119,udd1,41686,0.0563258648,0.0011291973440931066,Uses total age-cell frequency,4.462958443533664
58,hours_1,0.07700366684127816,N=10000,10000,3.043421745300293,0.07865339638711494,0.001649729545836781,udd1,40096,0.0542946927,0.0011316342366709572,Uses total age-cell frequency,1.4578292988819048
59,hours_1,0.07940185341196293,N=10000,10000,3.043421745300293,0.07965782260937214,0.00025596919740920876,udd1,38600,0.0550518135,0.0011609036069908578,Uses total age-cell frequency,0.22049134473162554
