education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,250000,84,hours_3,0.20058321918215985,0.0014533452999261353,0.1986953782291242,0.2028875168283738,10,17.152195978164674,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,2.8812572403305583
udd1,250000,84,hours_2,0.19904800280078852,0.0008820619485805309,0.19786453739380716,0.20049733173144085,10,17.152195978164674,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,1.0101155077197854
udd1,250000,78,hours_4,0.02599795727678813,0.0005061019281603409,0.025274407856730213,0.02678554586553153,10,17.152195978164674,2.595287322998047,20,5,5,19392,0.0084570957,0.0006575898130504886,Uses total age-cell frequency,0.7696316428817356
udd1,250000,55,work_work,0.7321264115460238,0.001486208827793466,0.7297993475591352,0.7338787096347055,10,17.152195978164674,2.595287322998047,20,5,5,42583,0.7300996078,0.002151169779622585,Approximate: uses total age-cell frequency,0.6908840212761896
udd1,250000,72,hours_4,0.07427730461685539,0.0006416800661584885,0.07349707768631972,0.07536236300291516,10,17.152195978164674,2.595287322998047,20,5,5,27755,0.0247162673,0.0009319364882404979,Uses total age-cell frequency,0.6885448464089914
udd1,500000,84,hours_3,0.1996832073593791,0.0008898315468483335,0.19825717164120205,0.20092275636255394,10,34.83719096183777,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,1.7640911538101822
udd1,500000,84,hours_2,0.20035290001675596,0.001081185796448484,0.198288966335459,0.20202147056634664,10,34.83719096183777,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,1.2381472089080507
udd1,500000,72,hours_4,0.07421342230312725,0.0006895863686180508,0.07316775988465365,0.07517727253095123,10,34.83719096183777,2.595287322998047,20,5,5,27755,0.0247162673,0.0009319364882404979,Uses total age-cell frequency,0.7399499615258055
udd1,500000,76,nowork_nowork,0.8272944952952583,0.0009697052087936331,0.826028818443804,0.828479290537136,10,34.83719096183777,2.595287322998047,20,5,5,25186,0.9088815183,0.0018133317839947713,Approximate: uses total age-cell frequency,0.5347643588187551
udd1,500000,73,nowork_nowork,0.7422995973703055,0.0010577706296517554,0.7406897054724761,0.7444889099911822,10,34.83719096183777,2.595287322998047,20,5,5,27615,0.8718269016,0.0020115973300965846,Approximate: uses total age-cell frequency,0.5258361670230333
udd2,10000,84,hours_2,0.19706810307562564,0.006999502077445695,0.18893678160919541,0.2100646352723915,10,1.5923665046691895,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,4.049216506834953
udd2,10000,84,hours_4,0.19944817145355903,0.009522801869000081,0.18882733148661127,0.22289296494079405,10,1.5923665046691895,2.383969783782959,20,5,5,578,0.0034602076,0.0024424994867647057,Uses total age-cell frequency,3.8987938055265783
udd2,10000,49,hours_1,0.0523050906748183,0.0033004457945358502,0.04866130510027487,0.05973630831643002,10,1.5923665046691895,2.383969783782959,20,5,5,15636,0.0375415707,0.0015201427721337761,Uses total age-cell frequency,2.171141984185551
udd2,10000,51,hours_1,0.05297731523361271,0.003358762380048467,0.046849427168576104,0.05667108347772908,10,1.5923665046691895,2.383969783782959,20,5,5,14835,0.0387596899,0.001584755833185678,Uses total age-cell frequency,2.1194194775713044
udd2,10000,52,hours_1,0.054514505358957896,0.003320191950591588,0.04758486309096503,0.058209718670076724,10,1.5923665046691895,2.383969783782959,20,5,5,14402,0.0370781836,0.0015745024298947678,Uses total age-cell frequency,2.1087245643777726
udd2,25000,84,hours_2,0.19790821040413206,0.005516308146775222,0.18792257108456054,0.20511146348288406,10,2.508487606048584,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,3.1911878527310367
udd2,25000,84,hours_4,0.1989134509514266,0.0034256826879108197,0.19372467728257797,0.20385292210799297,10,2.508487606048584,2.383969783782959,20,5,5,578,0.0034602076,0.0024424994867647057,Uses total age-cell frequency,1.402531589657946
udd2,25000,49,hours_2,0.05475634231723706,0.001992620927258424,0.050484094052558784,0.05760781122864117,10,2.508487606048584,2.383969783782959,20,5,5,15636,0.036838066,0.001506382407244147,Uses total age-cell frequency,1.3227855806573225
udd2,25000,42,hours_2,0.060040882094825956,0.0021707088764613774,0.05621634654022342,0.06337603919836138,10,2.508487606048584,2.383969783782959,20,5,5,15004,0.0477872567,0.0017414841128460352,Uses total age-cell frequency,1.2464706743226488
udd2,25000,50,hours_1,0.05227253289087645,0.0018900246199559751,0.048859934853420196,0.056014654996946876,10,2.508487606048584,2.383969783782959,20,5,5,15191,0.0366664472,0.0015248586128122972,Uses total age-cell frequency,1.2394753218924357
udd2,50000,84,hours_2,0.2005816462595078,0.0022110101642695956,0.19764410094049725,0.20444756554307117,10,3.8049922227859496,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,1.2790708188785114
