education,n_individuals,moment,mean_sd_to_se,median_sd_to_se,p90_sd_to_se,max_sd_to_se,mean_simulation_sd
udd2,10000,nowork_nowork,0.9227524501462199,0.8987157203264913,1.242678447837267,1.4663248349772176,0.003485998934999569
udd2,25000,hours_2,0.7778031944331424,0.7491634009636738,1.1298842723419869,3.1911878527310367,0.001516835002443626
udd2,25000,hours_3,0.736971510957621,0.7487178330328654,1.0535838153339434,1.1232162122806058,0.0015245967053794413
udd2,25000,hours_1,0.7048146134537092,0.7028595081427854,1.0248263429624302,1.2394753218924357,0.0017706325891706399
udd2,25000,hours_4,0.7080787186983328,0.6922295383914333,0.9729538267239614,1.402531589657946,0.0024731847764340926
udd2,25000,work_work,0.6147238080580633,0.6013895257184536,0.939233515517152,1.1211195231113438,0.002239973117559264
udd2,25000,hours_0,0.6082768539554386,0.6087326815072117,0.8929311094142177,0.9832905691218174,0.0022687269924582033
udd2,25000,prob_work,0.6082768539554373,0.6087326815072138,0.8929311094142172,0.9832905691218141,0.002268726992458199
udd2,25000,nowork_nowork,0.5732031627337247,0.5718197071975131,0.821069702506317,0.9841678927620888,0.0021286902725661198
udd2,50000,hours_2,0.5018429861477643,0.4717671595658685,0.7565907983912744,1.2790708188785114,0.0009747542282590138
udd2,50000,hours_4,0.5130194342223333,0.5344992824401491,0.745914487205131,1.0605929033324168,0.0017497962659976233
udd2,50000,hours_3,0.4983166410682749,0.507249053131231,0.7315406345379704,0.8756947840174115,0.001031070909848806
udd2,50000,hours_1,0.47185402175013197,0.45971628688720845,0.7132643890116294,0.86512111580496,0.0011680333542362547
udd2,50000,work_work,0.43737264415650784,0.41952007581631634,0.6702891243762528,0.7474171030198354,0.0016201545929509968
udd2,50000,prob_work,0.4322140810377254,0.4324687961370385,0.6420276831312494,0.776398475854897,0.0015660599202091383
udd2,50000,hours_0,0.43221408103772513,0.4324687961370413,0.6420276831312465,0.7763984758549006,0.0015660599202091392
udd2,50000,nowork_nowork,0.4019694177789624,0.3921867079576837,0.5710328731977803,0.6892241891275517,0.0014313689123187064
udd2,100000,hours_3,0.4047501551389319,0.39406869174817,0.6304026023539067,0.7125370446411395,0.0008275484179878768
udd2,100000,hours_4,0.4146786943161311,0.4069601927538212,0.6130765582369889,0.755174381391722,0.0014394966290190423
udd2,100000,work_work,0.3467626862784567,0.32594452328776335,0.5601271280247807,0.6518237756262873,0.0012520144190419447
udd2,100000,hours_2,0.3634188339550706,0.3639707318023218,0.5212153638462441,1.1225823005355404,0.0007103848367551873
udd2,100000,hours_0,0.3355160340519131,0.3528132358773927,0.48131990217860154,0.605512983151188,0.0012094528473934544
udd2,100000,prob_work,0.33551603405191266,0.35281323587739977,0.4813199021786002,0.6055129831511765,0.001209452847393453
udd2,100000,hours_1,0.330396370041917,0.33286573413818354,0.478408945956743,0.5942771244055983,0.0008410484610263521
udd2,100000,nowork_nowork,0.30911218529984846,0.2893513787797326,0.4348599853813546,0.6098482540074021,0.0011144712504761406
udd2,250000,work_work,0.22731531340722738,0.21260250069379777,0.34763626684676296,0.4461836328703189,0.0008563731696908573
udd2,250000,hours_3,0.2363462894534441,0.23039594647848521,0.3464214833613843,0.4358073595259567,0.0004908399748582691
udd2,250000,hours_4,0.23489599681324613,0.2366831431354413,0.3387585337539997,0.40374334728057026,0.0008338873010132997
udd2,250000,hours_2,0.2273077377944771,0.21608497377471417,0.3369269667308581,0.5102734112690889,0.0004457820575299839
udd2,250000,hours_1,0.19912317021575374,0.19217185375063872,0.32439575339918836,0.3703121144573763,0.0004877671638175205
udd2,250000,prob_work,0.21591568221764298,0.20297089999888637,0.30006344296778825,0.41744356289476203,0.0008026111011117956
udd2,250000,hours_0,0.21591568221764307,0.20297089999888002,0.30006344296778686,0.41744356289476037,0.0008026111011117953
udd2,250000,nowork_nowork,0.19258946336471877,0.18400259665866464,0.25714636734909874,0.37111658483350635,0.0007180233407668852
udd2,500000,hours_1,0.1591191815611705,0.15008429803251597,0.25506740566426606,0.3052646110742472,0.0003927865314688136
udd2,500000,hours_2,0.1619809776046064,0.15290706388630404,0.2486776923125765,0.6254666868435774,0.00031158570674848663
udd2,500000,hours_4,0.17509613517439657,0.1793239429952828,0.24288000552693456,0.31482029596875977,0.0006091639542332892
udd2,500000,hours_3,0.1589973388691779,0.1546651099398929,0.24220086331064938,0.3556182345811201,0.0003315818851806385
udd2,500000,work_work,0.14913832464121787,0.13793712906200495,0.23319382982494302,0.3137143647009547,0.000541672885742746
udd2,500000,nowork_nowork,0.13247725037563202,0.1275852766553484,0.2104364396204073,0.2462299308555443,0.0004740794284750589
udd2,500000,hours_0,0.14339499862876295,0.13524944897847174,0.19894952672226804,0.2676962334615775,0.0005203938364228912
udd2,500000,prob_work,0.14339499862876431,0.13524944897847735,0.19894952672226646,0.267696233461586,0.0005203938364228959
udd3,10000,hours_2,1.218599789237848,1.130624391728475,2.002574343636166,2.564403187401473,0.002525871707867046
udd3,10000,hours_1,1.0859889568403993,0.9339679996231814,1.6658737695966426,2.3923104559730954,0.0028356688397810485
udd3,10000,hours_4,1.0346047332140516,0.9318696098558382,1.4723660867982702,4.280507400773725,0.003962536081758196
udd3,10000,hours_3,0.9515930849717127,0.8594843237380214,1.4694702417513597,2.0238476605714255,0.0021414650670631076
udd3,10000,work_work,0.904155792125719,0.8984264602197,1.2400624548753907,1.5895462883877236,0.003748027952979647
udd3,10000,hours_0,0.8405018487015087,0.8109499539029802,1.1895717622754818,1.449876396823667,0.00359950610510766
udd3,10000,prob_work,0.8405018487015073,0.8109499539029776,1.1895717622754818,1.4498763968236525,0.0035995061051076567
udd3,10000,nowork_nowork,0.7471574330288362,0.7402446576330566,0.9993394011809628,1.3930268946019648,0.0032402871711433023
udd3,25000,hours_2,0.7643986952284814,0.7426842164483638,1.1494243031043498,1.5321693303113102,0.0016780831659045045
udd3,25000,hours_1,0.7130624724127683,0.6322063207105982,1.143498602253149,1.6219371292402842,0.001840227950478751
udd3,25000,hours_3,0.6506912088024995,0.560870348389051,1.0665620159165774,1.5347169309800583,0.0014609933495233613
udd3,25000,hours_4,0.6329332292146193,0.6343510177459349,0.9111837036814148,1.5398472319412453,0.0024527878407374247
udd3,25000,work_work,0.5722034447454828,0.6011851463334086,0.7791259852481047,0.8674350056961627,0.0023341192905512393
udd3,25000,prob_work,0.5358591353100138,0.5424692922029704,0.7415779451370461,0.8215593429076502,0.0022687912305289623
udd3,25000,hours_0,0.535859135310013,0.5424692922029765,0.7415779451370398,0.8215593429076484,0.0022687912305289597
udd3,25000,nowork_nowork,0.4910958631784539,0.4972277613685928,0.6780496200132532,0.8172162068893701,0.0020693147148454208
udd3,50000,hours_1,0.48289718658292363,0.4101150797653724,0.8445916205325792,1.1407301845921372,0.0012058355341269084
udd3,50000,hours_2,0.5118535780778848,0.4510853970244648,0.805325680931247,0.9744520528427135,0.001065715086587207
udd3,50000,hours_4,0.47333624743229574,0.4388900934792907,0.6829249853983702,1.1644308466601094,0.0017656702060818397
udd3,50000,hours_3,0.4646031440590676,0.41013976752304293,0.676040957937364,1.0124541476351272,0.0010255214187641318
udd3,50000,work_work,0.3673845919547912,0.36201711240647394,0.5405597930258343,0.6585296947016601,0.0014783282074748716
udd3,50000,prob_work,0.3473568907790138,0.3369006327457035,0.4801385219853426,0.6248422645650148,0.0014161836101215888
udd3,50000,hours_0,0.3473568907790144,0.33690063274569876,0.48013852198534035,0.6248422645650126,0.0014161836101215905
udd3,50000,nowork_nowork,0.3183868996548554,0.3136215690559788,0.44052777549928546,0.5293037184145153,0.0013055958922486143
udd3,100000,hours_3,0.35071522301507685,0.33088447060871884,0.5604334168763205,0.7057573563266046,0.0007779034266525166
udd3,100000,hours_4,0.3365414269753243,0.29833739736309517,0.5282403844729764,0.8291101529503416,0.001255001031118934
udd3,100000,hours_2,0.33142290638281025,0.3347591477926878,0.47959043484274394,0.597463283362081,0.0007170139974359406
udd3,100000,hours_1,0.3037040389379875,0.2840404372811328,0.4490016939198685,0.5355055789442189,0.0008044841627889526
udd3,100000,work_work,0.27408224568888473,0.2468402604601168,0.44478281900634453,0.580924058816601,0.001075733582274699
udd3,100000,prob_work,0.2593911689895054,0.24705528696948084,0.3939767547750619,0.5197373554998875,0.0010337447553978858
udd3,100000,hours_0,0.2593911689895057,0.2470552869694827,0.3939767547750516,0.5197373554998896,0.0010337447553978867
udd3,100000,nowork_nowork,0.23439251574722425,0.2254720930012136,0.31819243340673503,0.4582991280726435,0.0009628978254681587
udd3,250000,hours_1,0.2009463257356139,0.1793402632419309,0.3201760448630392,0.3785294660144667,0.0005144084050064017
udd3,250000,hours_2,0.20980615909475178,0.19890303517485763,0.3175607361522897,0.4086189170817703,0.0004352870271591679
udd3,250000,hours_3,0.19969772250108675,0.1954886533499844,0.28920875257798356,0.3974415258207846,0.00045600660807549036
udd3,250000,hours_4,0.2001961090229248,0.1958783945163384,0.2820502891849613,0.37226131362515646,0.0007643928387595313
udd3,250000,work_work,0.18786696014560422,0.1804195605085679,0.25604471329973755,0.2910724348090966,0.0007859937358558323
udd3,250000,prob_work,0.17700179255779724,0.17152844335441633,0.241085826794704,0.2835130175594335,0.0007412786612427791
udd3,250000,hours_0,0.17700179255779555,0.1715284433544141,0.24108582679470303,0.28351301755943725,0.0007412786612427737
udd3,250000,nowork_nowork,0.16134319180945517,0.158252476552848,0.21342948316871277,0.2543361390957086,0.0006793312004180607
udd3,500000,hours_1,0.1612416036156815,0.13110911842617617,0.29137154744811256,0.3468447347394595,0.00041322545731264275
udd3,500000,hours_2,0.15809793806912248,0.148456588970529,0.24256559568977498,0.29526955961482637,0.00034203688287980105
udd3,500000,hours_4,0.14784632627423927,0.1325920259655526,0.23971890626938555,0.34564295369963605,0.0005683115583828062
udd3,500000,hours_3,0.14375932785083287,0.14160793698903942,0.21737358178422256,0.27042170621672584,0.0003238622250360063
udd3,500000,work_work,0.11823483195545566,0.11185971252417562,0.15763792806313245,0.24173804345586508,0.000488790415338531
udd3,500000,hours_0,0.11276180035332453,0.10788686999122382,0.150323007689163,0.21364492829221846,0.0004754543993751347
udd3,500000,prob_work,0.11276180035332486,0.10788686999122699,0.15032300768915105,0.21364492829221232,0.0004754543993751369
udd3,500000,nowork_nowork,0.10324793598369503,0.10261867255108123,0.13502078397655895,0.1896277173287282,0.00044092878946751734
