education,age,n_data,moment,data_value,data_se,denominator_note
udd2,74,7998,prob_work,0.1464116029,0.003952949801422316,Uses total age-cell frequency
udd2,75,7923,prob_work,0.1340401363,0.0038275553888924238,Uses total age-cell frequency
udd2,76,7366,prob_work,0.1178387184,0.0037566621939939624,Uses total age-cell frequency
udd2,77,6573,prob_work,0.1058877225,0.0037952205308516003,Uses total age-cell frequency
udd2,78,5726,prob_work,0.0962277331,0.0038972113695161376,Uses total age-cell frequency
udd2,79,4695,prob_work,0.0815761448,0.003994711024097047,Uses total age-cell frequency
udd2,80,3872,prob_work,0.0779958678,0.004309576126010466,Uses total age-cell frequency
udd2,81,3178,prob_work,0.0695405916,0.004512227207687515,Uses total age-cell frequency
udd2,82,2067,prob_work,0.0556361877,0.0050417129079373514,Uses total age-cell frequency
udd2,83,1296,prob_work,0.0516975309,0.006150435106988815,Uses total age-cell frequency
udd2,84,578,prob_work,0.0397923875,0.008130526164046118,Uses total age-cell frequency
udd3,30,1301,prob_work,0.8455034589,0.010020246985229112,Uses total age-cell frequency
udd3,31,2482,prob_work,0.8255439162,0.007617496469827562,Uses total age-cell frequency
udd3,32,3552,prob_work,0.8119369369,0.0065565657939612,Uses total age-cell frequency
udd3,33,4342,prob_work,0.8090741594,0.0059646039456344516,Uses total age-cell frequency
udd3,34,4950,prob_work,0.8107070707,0.005567966029027937,Uses total age-cell frequency
udd3,35,5483,prob_work,0.8099580522,0.005298426049181692,Uses total age-cell frequency
udd3,36,8619,prob_work,0.8586843021,0.003752178798951493,Uses total age-cell frequency
udd3,37,11739,prob_work,0.882272766,0.0029745711105961625,Uses total age-cell frequency
udd3,38,14733,prob_work,0.8976447431,0.002497248309639693,Uses total age-cell frequency
udd3,39,17853,prob_work,0.9056741164,0.0021874886917706837,Uses total age-cell frequency
udd3,40,17484,prob_work,0.9090597117,0.0021744727514879728,Uses total age-cell frequency
udd3,41,16899,prob_work,0.9114740517,0.0021851283195683975,Uses total age-cell frequency
udd3,42,16541,prob_work,0.9145154465,0.0021739946231627972,Uses total age-cell frequency
udd3,43,15978,prob_work,0.9197646764,0.0021491165028498533,Uses total age-cell frequency
udd3,44,15429,prob_work,0.9205392443,0.002177351826489313,Uses total age-cell frequency
udd3,45,15154,prob_work,0.9216048568,0.002183500596065662,Uses total age-cell frequency
udd3,46,14897,prob_work,0.9210579311,0.00220926756436602,Uses total age-cell frequency
udd3,47,14703,prob_work,0.9215126165,0.0022179287467552827,Uses total age-cell frequency
udd3,48,14631,prob_work,0.9255006493,0.0021708389365766097,Uses total age-cell frequency
udd3,49,14114,prob_work,0.9226300128,0.00224892511727897,Uses total age-cell frequency
udd3,50,13301,prob_work,0.9222614841,0.00232168348356418,Uses total age-cell frequency
udd3,51,12629,prob_work,0.9197086072,0.0024181049140975814,Uses total age-cell frequency
udd3,52,11941,prob_work,0.9146637635,0.0025566844533539816,Uses total age-cell frequency
udd3,53,11340,prob_work,0.9126102293,0.00265195676112468,Uses total age-cell frequency
udd3,54,11158,prob_work,0.9095716078,0.002715049011524736,Uses total age-cell frequency
udd3,55,10794,prob_work,0.9073559385,0.0027906567984540575,Uses total age-cell frequency
udd3,56,10445,prob_work,0.9020584011,0.0029083502057988602,Uses total age-cell frequency
udd3,57,9859,prob_work,0.8980626838,0.003047217753079546,Uses total age-cell frequency
udd3,58,9125,prob_work,0.8928219178,0.003238314137687772,Uses total age-cell frequency
udd3,59,8551,prob_work,0.8825868319,0.0034811975710490038,Uses total age-cell frequency
udd3,60,8036,prob_work,0.8702090592,0.0037489877924814017,Uses total age-cell frequency
udd3,61,7489,prob_work,0.854453198,0.004075055783726453,Uses total age-cell frequency
udd3,62,7287,prob_work,0.8394400988,0.004300698691989682,Uses total age-cell frequency
udd3,63,7168,prob_work,0.8162667411,0.004574155679219102,Uses total age-cell frequency
udd3,64,7025,prob_work,0.7839145907,0.004910479826489065,Uses total age-cell frequency
udd3,65,6992,prob_work,0.7336956522,0.0052862340944601184,Uses total age-cell frequency
udd3,66,6812,prob_work,0.6623605402,0.005729760967412371,Uses total age-cell frequency
udd3,67,6754,prob_work,0.5663310631,0.00603022922492882,Uses total age-cell frequency
udd3,68,6615,prob_work,0.4875283447,0.006145679895486712,Uses total age-cell frequency
udd3,69,6435,prob_work,0.4177156177,0.006147997070315945,Uses total age-cell frequency
udd3,70,6337,prob_work,0.3692599022,0.006062467761445677,Uses total age-cell frequency
udd3,71,6224,prob_work,0.3189267352,0.005907552472641256,Uses total age-cell frequency
udd3,72,6085,prob_work,0.2726376335,0.005708710556696205,Uses total age-cell frequency
udd3,73,5938,prob_work,0.2418322668,0.005556734866837326,Uses total age-cell frequency
udd3,74,5880,prob_work,0.2161564626,0.005367970744231724,Uses total age-cell frequency
udd3,75,5681,prob_work,0.196444288,0.005271270516252572,Uses total age-cell frequency
udd3,76,5187,prob_work,0.1733179102,0.0052557277723988,Uses total age-cell frequency
udd3,77,4611,prob_work,0.1559314682,0.005342667879485115,Uses total age-cell frequency
udd3,78,4006,prob_work,0.143534698,0.005539593078944676,Uses total age-cell frequency
udd3,79,3348,prob_work,0.1296296296,0.005805123512840444,Uses total age-cell frequency
udd3,80,2785,prob_work,0.1055655296,0.005822677407687409,Uses total age-cell frequency
udd3,81,2244,prob_work,0.0811051693,0.0057629618615324,Uses total age-cell frequency
udd3,82,1484,prob_work,0.0781671159,0.006968209380870932,Uses total age-cell frequency
udd3,83,933,prob_work,0.0589496249,0.007710918931322863,Uses total age-cell frequency
udd3,84,449,prob_work,0.0534521158,0.010615258496821947,Uses total age-cell frequency
udd1,30,2840,hours_0,0.2591549296,0.008222128593867357,Uses total age-cell frequency
udd1,31,5097,hours_0,0.2744751815,0.00625058060855109,Uses total age-cell frequency
udd1,32,7282,hours_0,0.2716286734,0.005212413841895232,Uses total age-cell frequency
udd1,33,9171,hours_0,0.2705266601,0.00463875463007704,Uses total age-cell frequency
udd1,34,11180,hours_0,0.2771019678,0.004232894306220716,Uses total age-cell frequency
udd1,35,13112,hours_0,0.2811165345,0.003925888602819014,Uses total age-cell frequency
udd1,36,17702,hours_0,0.2521184047,0.0032636796977581362,Uses total age-cell frequency
udd1,37,22115,hours_0,0.2366719421,0.0028581533632124284,Uses total age-cell frequency
udd1,38,26699,hours_0,0.2224802427,0.0025453877161882243,Uses total age-cell frequency
udd1,39,31731,hours_0,0.2131039047,0.0022988599768867745,Uses total age-cell frequency
udd1,40,32214,hours_0,0.2126094245,0.002279628274445702,Uses total age-cell frequency
udd1,41,32959,hours_0,0.2158135866,0.0022660111095178944,Uses total age-cell frequency
udd1,42,33929,hours_0,0.2110583866,0.0022153288792549682,Uses total age-cell frequency
udd1,43,34810,hours_0,0.2128411376,0.0021938501947408816,Uses total age-cell frequency
udd1,44,35491,hours_0,0.2131526302,0.0021738595353921033,Uses total age-cell frequency
udd1,45,36530,hours_0,0.210511908,0.0021329775752958625,Uses total age-cell frequency
udd1,46,37648,hours_0,0.2112462813,0.002103750786040311,Uses total age-cell frequency
udd1,47,38609,hours_0,0.2123080111,0.002081215868645027,Uses total age-cell frequency
udd1,48,39731,hours_0,0.2165311721,0.002066361617364992,Uses total age-cell frequency
udd1,49,40045,hours_0,0.221126233,0.002073860420280879,Uses total age-cell frequency
udd1,50,40332,hours_0,0.2276852127,0.002088044301422947,Uses total age-cell frequency
udd1,51,40778,hours_0,0.2333366031,0.002094502289083435,Uses total age-cell frequency
udd1,52,41035,hours_0,0.2350188863,0.0020931459883932807,Uses total age-cell frequency
udd1,53,41296,hours_0,0.2390304146,0.0020987283947791133,Uses total age-cell frequency
udd1,54,42101,hours_0,0.2423932923,0.0020885073047798696,Uses total age-cell frequency
udd1,55,42583,hours_0,0.2430077731,0.002078440831126764,Uses total age-cell frequency
udd1,56,42538,hours_0,0.2469556632,0.002090890237522,Uses total age-cell frequency
udd1,57,41686,hours_0,0.2528186921,0.0021287392969114314,Uses total age-cell frequency
udd1,58,40096,hours_0,0.2612729449,0.002194010481356121,Uses total age-cell frequency
udd1,59,38600,hours_0,0.2727720207,0.0022669479460806653,Uses total age-cell frequency
udd1,60,36987,hours_0,0.2872090194,0.002352640566524788,Uses total age-cell frequency
udd1,61,35482,hours_0,0.3134828927,0.002462796677196493,Uses total age-cell frequency
udd1,62,34081,hours_0,0.3469088348,0.0025783295133971025,Uses total age-cell frequency
udd1,63,32751,hours_0,0.391560563,0.002697092662546113,Uses total age-cell frequency
udd1,64,31813,hours_0,0.4625781913,0.002795425401590887,Uses total age-cell frequency
udd1,65,31074,hours_0,0.5382635,0.0028281079857679146,Uses total age-cell frequency
udd1,66,30479,hours_0,0.630270022,0.0027650647198966876,Uses total age-cell frequency
udd1,67,30295,hours_0,0.7056610002,0.0026184029670637456,Uses total age-cell frequency
udd1,68,29842,hours_0,0.7714630387,0.002430646617745015,Uses total age-cell frequency
udd1,69,29091,hours_0,0.8117287133,0.0022920187942329336,Uses total age-cell frequency
udd1,70,28733,hours_0,0.8390700588,0.0021678391339006327,Uses total age-cell frequency
udd1,71,28201,hours_0,0.8636927769,0.0020431809215295735,Uses total age-cell frequency
udd1,72,27755,hours_0,0.8788686723,0.0019584821378455207,Uses total age-cell frequency
udd1,73,27615,hours_0,0.8942241535,0.001850733683048359,Uses total age-cell frequency
udd1,74,27541,hours_0,0.9048327947,0.0017682268125482755,Uses total age-cell frequency
udd1,75,27329,hours_0,0.914266896,0.0016935534234307523,Uses total age-cell frequency
udd1,76,25186,hours_0,0.9237274676,0.0016725396125979082,Uses total age-cell frequency
udd1,77,22442,hours_0,0.9293289368,0.0017107035773687416,Uses total age-cell frequency
udd1,78,19392,hours_0,0.9363655116,0.0017529021828404337,Uses total age-cell frequency
udd1,79,16359,hours_0,0.9433339446,0.0018076562448152398,Uses total age-cell frequency
udd1,80,13610,hours_0,0.9477590007,0.0019073290966787255,Uses total age-cell frequency
udd1,81,11239,hours_0,0.9522199484,0.002012000615868298,Uses total age-cell frequency
udd1,82,7491,hours_0,0.9607529035,0.002243570499407645,Uses total age-cell frequency
udd1,83,4499,hours_0,0.9615470104,0.0028667664920968786,Uses total age-cell frequency
udd1,84,1982,hours_0,0.9636730575,0.004202690968497574,Uses total age-cell frequency
udd2,30,1113,hours_0,0.1635220126,0.011085819114547741,Uses total age-cell frequency
udd2,31,2004,hours_0,0.1616766467,0.008223952062777358,Uses total age-cell frequency
udd2,32,2718,hours_0,0.1534216336,0.006912770810141865,Uses total age-cell frequency
udd2,33,3314,hours_0,0.1430295715,0.006081624260351313,Uses total age-cell frequency
udd2,34,3924,hours_0,0.1480632008,0.005669734943943286,Uses total age-cell frequency
udd2,35,4527,hours_0,0.1358515573,0.005092385104919589,Uses total age-cell frequency
