education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,10000,42,hours_1,0.0642029335208162,0.0025584353436587217,0.06014660106436389,0.0680517916290274,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.0686138701,0.0013724145421682345,Uses total age-cell frequency,1.8641855394629747
udd1,10000,42,hours_2,0.0623957757588345,0.0020277798032380945,0.058304064224786754,0.06435096877823512,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.0575319049,0.0012641603819396497,Uses total age-cell frequency,1.6040526441168756
udd1,10000,42,hours_3,0.09139505931169761,0.0022697608384024477,0.08827960228984634,0.09678391959798995,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.085325238,0.0015166542007455748,Uses total age-cell frequency,1.496557908379281
udd1,10000,42,hours_4,0.5993382671072613,0.0033560674797312715,0.5918121613485852,0.6030534351145038,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.5774706004,0.0026816856978213095,Uses total age-cell frequency,1.251476816413591
udd1,10000,42,nowork_nowork,0.08520891130794651,0.003060366155968223,0.08093994778067885,0.09121011438892233,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.188258815,0.002122271397809841,Approximate: uses total age-cell frequency,1.4420239367719345
udd1,10000,42,prob_work,0.8173320356986096,0.0037812290020801643,0.8113396889111891,0.8224543080939948,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.7889416134,0.002215328879254968,Uses total age-cell frequency,1.7068476999008024
udd1,10000,42,work_work,0.7141689332878938,0.004698622807498108,0.7079068834035721,0.7200683005222981,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.7506724827,0.002348685272502447,Approximate: uses total age-cell frequency,2.000533175946507
udd1,10000,43,hours_0,0.17824839864992797,0.004265424949407111,0.17120739921584396,0.18472040959742997,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.2128411376,0.0021938501947408816,Uses total age-cell frequency,1.9442644532576692
udd1,10000,43,hours_1,0.06433035124984111,0.0032455771735441265,0.05689013971253392,0.06933279742765273,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.0652398736,0.0013235935225971284,Uses total age-cell frequency,2.4520950866967985
udd1,10000,43,hours_2,0.060984210254170966,0.002112703816106534,0.05801910507792861,0.06491157556270097,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.0554151106,0.0012262600718364065,Uses total age-cell frequency,1.722883966157863
udd1,10000,43,hours_3,0.09088460226877222,0.002816934083533511,0.08685611005120997,0.09522373051784816,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.0850617639,0.0014952405601530551,Uses total age-cell frequency,1.8839337017751614
udd1,10000,43,hours_4,0.6055524375772878,0.006868548908456045,0.5966639871382636,0.6145341240325661,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.5814421143,0.00264410681206735,Uses total age-cell frequency,2.5976820895089814
udd1,10000,43,nowork_nowork,0.08077227648593403,0.002738271172186025,0.07616559485530547,0.08585199317200522,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.1874690966,0.0020918607704401918,Approximate: uses total age-cell frequency,1.3090121536194823
udd1,10000,43,prob_work,0.8217516013500721,0.004265424949407093,0.81527959040257,0.8287926007841561,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.7871588624,0.0021938501947408816,Uses total age-cell frequency,1.944264453257661
udd1,10000,43,work_work,0.7198033010842884,0.00490066751464931,0.7089649633570927,0.7265507188096914,10,1.7042888164520265,2.595287322998047,20,5,5,34810,0.7516776153,0.00231564367494827,Approximate: uses total age-cell frequency,2.1163305769652956
udd1,10000,44,hours_0,0.17113086545155698,0.002809032212328868,0.16820832495475568,0.17636418450406993,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.2131526302,0.0021738595353921033,Uses total age-cell frequency,1.2921866231905355
udd1,10000,44,hours_1,0.06482110361467681,0.0028641986179475843,0.06123476684459664,0.07074665862727364,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.0657631512,0.001315711546537924,Uses total age-cell frequency,2.176919876916978
udd1,10000,44,hours_2,0.06063462228646643,0.00277585898932017,0.057459677419354836,0.06552105316048638,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.0567467809,0.0012280771334046918,Uses total age-cell frequency,2.2603295133624424
udd1,10000,44,hours_3,0.08967851025382957,0.003961931062169466,0.08421264194553311,0.09657258064516129,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.0792313544,0.0014337211201329695,Uses total age-cell frequency,2.763390318057126
udd1,10000,44,hours_4,0.6137348983934702,0.0033143209126540642,0.6096774193548387,0.6202353414462436,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.5851060832,0.00261533136470357,Uses total age-cell frequency,1.2672661511975252
udd1,10000,44,nowork_nowork,0.07708724752558715,0.002108838042354942,0.07379851196460889,0.08049442267108833,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.1887659869,0.002077188114816216,Approximate: uses total age-cell frequency,1.0152369096053326
udd1,10000,44,prob_work,0.828869134548443,0.0028090322123289217,0.82363581549593,0.8317916750452443,10,1.7042888164520265,2.595287322998047,20,5,5,35491,0.7868473698,0.0021738595353921033,Uses total age-cell frequency,1.29218662319056
