education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd1,72,27755,0.1211313277,0.8788686723,0.0658259773,0.0192037471,0.011385336,0.0247162673,5.2916766352,0.1086475482,0.856346256,28.373595938,1.9525247208,0.0026858022,764.63414634,4.0835656e-06,4.4351327418,
udd1,73,27615,0.1057758465,0.8942241535,0.059967409,0.0164403404,0.00854608,0.020822017,5.3381670165,0.0970778497,0.8718269016,27.882432365,1.8467129621,0.0026640771,737.35022253,3.8459423e-06,4.2962546838,
udd1,74,27541,0.0951672053,0.9048327947,0.0567880614,0.0134708253,0.0076249955,0.017283323,6.1159093933,0.0861905835,0.8887136743,27.253315715,1.757095742,0.0026834193,704.5593285,4.1822517e-06,4.3645892973,
udd1,75,27329,0.085733104,0.914266896,0.0530206008,0.0135753229,0.0064034542,0.0127337261,6.5007282261,0.078566939,0.8978180839,26.591595503,1.6825289503,0.0027694229,652.66752027,5.2934293e-06,4.9050586343,
udd1,76,25186,0.0762725324,0.9237274676,0.0495116334,0.011355515,0.0048042563,0.0106011276,6.6137540709,0.0695135434,0.9088815183,25.884571485,1.5972480178,0.0028190036,619.91150442,6.2023055e-06,4.5959276533,
udd1,77,22442,0.0706710632,0.9293289368,0.0462971215,0.0105159968,0.0043222529,0.009535692,7.4019385803,0.0632012352,0.9167267113,25.122142252,1.5843592655,0.0028229891,611.25472888,7.0468601e-06,5.0659105711,
udd1,78,19392,0.0636344884,0.9363655116,0.0436262376,0.0086633663,0.0028877888,0.0084570957,7.0302513609,0.056398872,0.9263214736,24.271271622,1.4959360016,0.0028165436,585.00810373,5.8820563e-06,4.5999651581,
udd1,79,16359,0.0566660554,0.9433339446,0.03973348,0.0067241274,0.00311755,0.007090898,7.6621494181,0.0523964833,0.9325723199,23.488004184,1.46911529,0.0028676519,573.57065804,6.7726e-06,4.2033512697,
udd1,80,13610,0.0522409993,0.9477590007,0.0368846436,0.006098457,0.0031594416,0.006098457,7.9601099346,0.0474093264,0.9380829016,22.61895665,1.5451218307,0.0029532446,564.48663854,7.2089789e-06,4.2906564167,
udd1,81,11239,0.0477800516,0.9522199484,0.0344336685,0.005516505,0.0020464454,0.0057834327,8.2121018551,0.0412920761,0.9424001673,22.007918854,1.532966021,0.0030851355,552.42085661,9.226517e-06,4.5186137789,
udd1,82,7491,0.0392470965,0.9607529035,0.0288346015,0.0044052863,0.0017354158,0.0042717928,7.8377642157,0.0362027353,0.9497184232,21.53691096,1.4879541585,0.0030407156,532.14285714,7.6503306e-06,3.8039392554,
udd1,83,4499,0.0384529896,0.9615470104,0.0295621249,0.0031118026,0.0017781729,0.0040008891,8.4576544565,0.0355386679,0.9532856504,21.212713936,1.5173474422,0.003212212,510.69364162,1.1422e-05,4.0587407111,
udd1,84,1982,0.0363269425,0.9636730575,0.0277497477,0.0015136226,0.0005045409,0.0065590313,8.292208779,0.0344478217,0.9549138804,20.553985873,1.6455017979,0.0030871726,583.33333333,5.5568734e-06,2.8955259517,
udd2,30,1113,0.8364779874,0.1635220126,0.1545372866,0.1374663073,0.1132075472,0.4312668464,0.8322528482,,,,2.6802151558,0.0019544334,1324.9731472,3.5919389e-07,1.075206135,
udd2,31,2004,0.8383233533,0.1616766467,0.1317365269,0.120758483,0.0903193613,0.495508982,0.8939877134,0.7853535354,0.1287878788,,2.9131279235,0.0020109608,1410.4166667,4.0646348e-07,1.2843345548,
udd2,32,2718,0.8465783664,0.1534216336,0.1026490066,0.102281089,0.1081677704,0.5334805004,1.1012366581,0.7988126649,0.1187335092,,3.1334907329,0.0020574267,1484.3328987,4.5546815e-07,1.5424698075,
udd2,33,3314,0.8569704285,0.1430295715,0.0911285456,0.0983705492,0.1007845504,0.5666867833,1.2269813005,0.8035882908,0.1213408876,,3.3495992667,0.0021522884,1521.971831,5.2378228e-07,1.6062929707,
udd2,34,3924,0.8519367992,0.1480632008,0.0751783894,0.0891946993,0.0976044852,0.5899592253,1.383093843,0.8143555054,0.1206313416,,3.5606141502,0.0022250894,1565.2557583,6.2189172e-07,1.5392696938,
udd2,35,4527,0.8641484427,0.1358515573,0.0799646565,0.084824387,0.0967528164,0.6026065827,1.4843333996,0.822180333,0.1055607917,7.8202099738,3.6491638365,0.0022811172,1567.2546012,6.658316e-07,1.5914237915,
udd2,36,7085,0.8955539873,0.1044460127,0.0640790402,0.0760762174,0.0844036697,0.67099506,1.7241213663,0.8490860455,0.0864913063,9.80242891,4.1380051038,0.0024810569,1627.6989756,9.1620186e-07,1.8017318537,
udd2,37,9565,0.8999477261,0.1000522739,0.0552012546,0.063565081,0.0762153685,0.704966022,1.990996239,0.8686110309,0.0750794109,10.683236994,4.524144273,0.002659871,1666.7518587,1.1049357e-06,1.7905644992,
udd2,38,12100,0.9083471074,0.0916528926,0.047107438,0.0538842975,0.0744628099,0.732892562,2.1847497835,0.8816145439,0.0709879883,11.521622878,4.7975058997,0.0027767223,1697.0248385,1.3885573e-06,2.0578506022,
udd2,39,14860,0.9185733513,0.0814266487,0.0436069987,0.0539030956,0.0719380888,0.7491251682,2.3332888815,0.8948215951,0.0634799559,12.275092609,5.0104422489,0.002885961,1707.1978022,1.5374136e-06,1.9583392921,
udd2,40,14575,0.9162950257,0.0837049743,0.0422641509,0.0501543739,0.0701886792,0.7536878216,2.4031108679,0.8976227659,0.0614263404,13.260451317,5.1416159847,0.0029451274,1714.9868963,1.6916244e-06,2.0417381828,
