education,n_individuals,seed,age,sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,moment,sim_value
udd1,10000,202,64,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.6319038694741483
udd1,10000,202,65,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.5674169823935814
udd1,10000,202,66,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.4548540393754243
udd1,10000,202,67,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.35152211372774267
udd1,10000,202,68,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.29856325195654715
udd1,10000,202,69,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.25641940085592013
udd1,10000,202,70,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.22116788321167882
udd1,10000,202,71,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.19828656568164887
udd1,10000,202,72,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.1670692943420216
udd1,10000,202,73,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.1505488761108207
udd1,10000,202,74,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.12572273766303618
udd1,10000,202,75,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.10257480862908838
udd1,10000,202,76,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.08866995073891626
udd1,10000,202,77,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.07955232909860858
udd1,10000,202,78,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.06916153481762198
udd1,10000,202,79,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.05663189269746647
udd1,10000,202,80,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.05436112567732914
udd1,10000,202,81,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.04691266456517708
udd1,10000,202,82,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.045807608046205935
udd1,10000,202,83,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.0645230439442658
udd1,10000,202,84,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7943529411764706
udd1,10000,303,30,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.6821
udd1,10000,303,31,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.6978
udd1,10000,303,32,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7185718571857186
udd1,10000,303,33,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.735973597359736
udd1,10000,303,34,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7363945578231292
udd1,10000,303,35,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7539015606242497
udd1,10000,303,36,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7704622773664198
udd1,10000,303,37,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7846631294423866
udd1,10000,303,38,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7932104946925695
udd1,10000,303,39,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7984573775418211
udd1,10000,303,40,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8087218045112782
udd1,10000,303,41,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8145622304683582
udd1,10000,303,42,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8200341262671886
udd1,10000,303,43,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8174148840012052
udd1,10000,303,44,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8286231519662074
udd1,10000,303,45,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8312537733950494
